      ID     height   foot_size    weight  forearm_le  income     Book_score  Book_apprec
       0     1.7899     6.2968    68.9011    42.6492  2663.0869     8.5258   yes
       1     1.7887     6.2507    67.6268    42.4574  2086.8047     8.8313   yes
       2     1.8535    10.4551    83.0686    48.2764  2122.3171     1.7397    no
       3     1.7830     6.2979    72.2125    43.4030  2937.9045     9.0681   yes
       4     1.8296     9.4631    87.9179    44.9034  2037.7037     3.5197    no
       5     1.7066     6.6805    68.9750    42.2179  1979.2242     8.2493   yes
       6     1.7434     7.3759    74.5582    43.8944  1681.3463     9.1596   yes
       7     1.7272     5.8743    63.8662    41.3062  1975.3629     7.4327   yes
       8     1.9095    10.5542    90.4855    47.2597  1849.9948     1.2011    no
       9     1.9317    10.2395    94.1795    46.8241  2655.6934     1.0622    no
      10     1.7778     8.1173    70.7507    46.6616  2008.8464     5.9419   yes
      11     1.7630     7.2999    72.6349    43.6474  2973.3794     8.0271   yes
      12     1.8134     8.9712    80.0548    45.9284  1817.7246     4.3618    no
      13     1.7179     6.7392    73.9107    43.8950  2633.7114     8.3822   yes
      14     1.6011     4.2562    47.3833    39.5072  3630.9265     2.8061    no
      15     1.9027    10.5468    82.0787    48.4342  3588.4036     2.0687    no
      16     1.8931    10.0427    76.7618    46.6191  1451.0012     1.5437    no
      17     1.7083     5.8130    75.9400    42.6978  1868.3208     8.3114   yes
      18     1.9181    10.7043    81.0124    48.9647  2471.9617     1.0142    no
      19     1.7865     6.0203    67.4388    42.9726  2104.0549     8.7079   yes
      20     1.7954     8.8263    76.7540    46.7754  2598.3708     4.9044    no
      21     1.8894     9.9857    75.8142    47.6166  2002.4991     2.2181    no
      22     1.7611     6.4743    63.7208    42.1141  1446.8959     9.3581   yes
      23     1.7763     8.9729    88.0566    46.5654  3196.1289     3.7688    no
      24     1.7383     6.3147    72.7374    41.3566  3815.9312     9.3259   yes
      25     1.6782     4.9166    59.6536    40.8248  1883.5540     5.5384   yes
      26     1.7110     5.8148    66.8879    42.3894  2919.4001     9.2233   yes
      27     1.7508     5.7874    64.7716    41.8914  3137.4998     8.5249   yes
      28     1.6997     6.3850    66.9834    42.1487  1953.5640     9.2595   yes
      29     1.7648     6.6046    63.9162    43.1852  3178.5706     8.7796   yes
      30     1.8571    10.0539    92.7272    47.7137  2040.0292     2.0871    no
      31     1.7572     6.4201    66.6154    43.7782  2511.4041     8.8704   yes
      32     1.6333     4.4084    54.2778    39.5368  2734.3640     4.0804    no
      33     1.7165     7.6243    77.8500    45.6505  1390.3895     7.6799   yes
      34     1.6739     5.4490    65.8328    42.4269  1906.6929     6.2105   yes
      35     1.6545     5.3254    55.5508    39.3397  2141.6025     7.3504   yes
      36     1.7544     5.6824    63.7833    41.8956  3387.8965     7.5840   yes
      37     1.7378     6.1188    67.9286    42.3952  1756.8198     7.6110   yes
      38     1.8356    10.3521    93.9587    47.1701  1869.0519     2.0346    no
      39     1.7507     9.1972    82.1815    46.2815  1904.4900     3.4249    no
      40     1.7357     5.1876    63.0240    40.7811  2734.0752     5.9570   yes
      41     1.6935     5.0908    58.6179    42.3723  1293.7012     5.3558   yes
      42     1.7373     6.6520    73.8861    43.8468  1578.8844     7.9093   yes
      43     1.7792     8.0088    68.1427    46.2613  1818.3363     4.9234    no
      44     1.8943    10.5712    82.8672    48.5973  3169.3762     1.1386    no
      45     1.7477     5.9088    67.1025    41.7601  1810.4662     9.7928   yes
      46     1.7579     5.8843    69.2665    41.8204  3284.7729     7.3867   yes
      47     1.7046     5.3034    67.2199    41.0917  3322.4946     7.7669   yes
      48     1.5619     4.0610    54.6312    38.7073  2973.0674     0.1368    no
      49     1.7535     6.8627    64.9770    42.6887  1620.9329     9.4186   yes
      50     1.7076     5.5796    64.3394    41.3435  2773.8120     7.9246   yes
      51     1.7141     7.8876    76.1983    44.6752  2596.8679     7.0683   yes
      52     1.6657     5.2381    56.4373    42.6105  3152.8765     6.7435   yes
      53     1.6711     4.6515    48.2462    40.2943  1534.7247     3.2556    no
